指标名称,在规则中,在状态CSV中,丢失方向,模块,来源类型,报表类型,提取器,适用范围,OK次数,失败次数,skip_external,skip_form_filter,N/A次数,missing次数,分类,判定,丢失原因,ICBC年报,ICBC半年报,ICBC_Q1,ICBC_Q3,茅台年报,茅台半年报,茅台Q1,茅台Q3
上市募集资金总额,Y,Y,in_both,cashflow,report,年报,python:table_row,universal[*],0,2,0,6,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 2 tests failed with section_found/no_value or extract_fail),section_found/no_value,skip:form_filter,skip:form_filter,skip:form_filter,section_found/no_value,skip:form_filter,skip:form_filter,skip:form_filter
不良贷款拨备覆盖率,Y,Y,in_both,report_section,report,年报/半年报/季报,python:percent_value,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/no_value,section_found/no_value,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
专项储备,Y,Y,in_both,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
业务及管理费用,Y,Y,in_both,income_statement,report,年报/半年报/季报,python:table_row,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
为交易目的而持有的金融资产净减少额,Y,Y,in_both,cashflow,report,年报/半年报/季报,python:table_row,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
为交易目的而持有的金融资产净增加额,Y,Y,in_both,cashflow,report,年报/半年报/季报,python:table_row,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
买入返售金融资产净增加额,Y,Y,in_both,cashflow,report,年报/半年报/季报,python:table_row,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
买入返售金融资产款净减少额,Y,Y,in_both,cashflow,report,年报/半年报/季报,python:table_row,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
以公允价值计量且其变动计入其他综合收益的债务工具投资,Y,Y,in_both,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
以公允价值计量且其变动计入其他综合收益的金融投资,Y,Y,in_both,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
以公允价值计量且其变动计入当期损益的金融投资,Y,Y,in_both,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
以公允价值计量且其变动计入当期损益的金融负债,Y,Y,in_both,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
使用权资产摊销,Y,Y,in_both,cashflow,report,年报/半年报/季报,python:table_row,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
信用减值损失,Y,Y,in_both,income_statement,report,年报/半年报/季报,python:table_row,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
偿付债务支付的现金,Y,Y,in_both,cashflow,report,年报/半年报/季报,python:table_row,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
偿还债券利息支付的现金,Y,Y,in_both,cashflow,report,年报/半年报/季报,python:table_row,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
偿还已发行同业存单支付的现金,Y,Y,in_both,cashflow,report,年报/半年报/季报,python:table_row,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
偿还已发行存款证支付的现金,Y,Y,in_both,cashflow,report,年报/半年报/季报,python:table_row,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
