module,subgroup,indicator,source_type,extractor,unit,applies_to_industry,position_type,selector_chain,matched_selector,matched_section,toc_ordinal,toc_level,char_start,char_end,body_chars,statement,field,report_hint_section,report_hint_ordinal,formula,inputs,resolved,note
资产负债表,四、核心指标,净利差,report,llm,%,bank,section,主要财务指标 → 财务概要 → 讨论与分析 (fallback) → 管理层讨论与分析 (fallback),财务概要,5. 财务概要,5,3,9876,13769,3879,,,,,,,yes,
资产负债表,四、核心指标,净息差,report,llm,%,bank,section,主要财务指标 → 财务概要 → 讨论与分析 (fallback) → 管理层讨论与分析 (fallback),财务概要,5. 财务概要,5,3,9876,13769,3879,,,,,,,yes,
资产负债表,四、核心指标,流动性覆盖率,report,llm,%,bank,section,流动性风险 → 风险管理 (fallback),流动性风险,7. 4.5 流动性风险,101,3,305,152859,152534,,,,,,,yes,
资产负债表,四、核心指标,流动性比例（人民币）,report,llm,%,bank,section,流动性风险 → 风险管理 (fallback),流动性风险,7. 4.5 流动性风险,101,3,305,152859,152534,,,,,,,yes,
资产负债表,五、贷款质量,贷款和垫款总额,report,llm,元,bank,section,五、贷款质量 → 贷款质量 → 信用风险 (fallback) → 风险管理 (fallback),信用风险,7. 4.2 信用风险,96,3,305,152859,152534,,,,,,,yes,
资产负债表,五、贷款质量,不良贷款余额,report,llm,元,bank,section,贷款质量 → 信用风险 (fallback) → 风险管理 (fallback),信用风险,7. 4.2 信用风险,96,3,305,152859,152534,,,,,,,yes,
资产负债表,五、贷款质量,正常类贷款迁徙率,report,llm,%,bank,section,贷款质量 → 信用风险 (fallback),信用风险,7. 4.2 信用风险,96,3,305,152859,152534,,,,,,,yes,
资产负债表,五、贷款质量,关注类贷款迁徙率,report,llm,%,bank,section,贷款质量 → 信用风险 (fallback),信用风险,7. 4.2 信用风险,96,3,305,152859,152534,,,,,,,yes,
资产负债表,五、贷款质量,次级类贷款迁徙率,report,llm,%,bank,section,贷款质量 → 信用风险 (fallback),信用风险,7. 4.2 信用风险,96,3,305,152859,152534,,,,,,,yes,
资产负债表,五、贷款质量,可疑类贷款迁徙率,report,llm,%,bank,section,贷款质量 → 信用风险 (fallback),信用风险,7. 4.2 信用风险,96,3,305,152859,152534,,,,,,,yes,
资产负债表,五、贷款质量,不良率,computed,computed,%,bank,derived,,,,,,,,,,,,,不良贷款余额 / 贷款和垫款总额 * 100,不良贷款余额 | 贷款和垫款总额,n/a,computed locally; no report position
资产负债表,五、贷款质量,拨贷比,report,llm,%,bank,section,贷款质量 → 信用风险 (fallback),信用风险,7. 4.2 信用风险,96,3,305,152859,152534,,,,,,,yes,
资产负债表,五、贷款质量,不良贷款拨备覆盖率,report,llm,%,bank,section,贷款质量 → 信用风险 (fallback) → 风险管理 (fallback),信用风险,7. 4.2 信用风险,96,3,305,152859,152534,,,,,,,yes,
资产负债表,五、贷款质量,逾期贷款率,report,llm,%,bank,section,贷款质量 → 信用风险 (fallback),信用风险,7. 4.2 信用风险,96,3,305,152859,152534,,,,,,,yes,
资产负债表,五、贷款质量,重组贷款率,report,llm,%,bank,section,贷款质量 → 信用风险 (fallback),信用风险,7. 4.2 信用风险,96,3,305,152859,152534,,,,,,,yes,
资产负债表,五、贷款质量,逾期 90 天重组贷款率,report,llm,%,bank,section,贷款质量 → 信用风险 (fallback),信用风险,7. 4.2 信用风险,96,3,305,152859,152534,,,,,,,yes,
资产负债表,六、员工情况,员工人数,report,python:headcount,人,*,section,人力资源管理 → 员工情况 → 员工 (fallback),人力资源管理,7. 3.8 人力资源管理与员工机构情况,18,3,305,97483,97158,,,,,,,yes,
资产负债表,七、股本、股东以及估值,前十大股东持仓占总股本比例,report,llm,%,*,section,股本变动 → 股份变动及股东情况 → 股东情况 (fallback) → 主要股东 (fallback),股本变动,8. 股本变动及主要股东持股情况,26,3,97483,107716,10213,,,,,,,yes,
利润表,一、营业收入,营业收入,akshare,auto,元,*,akshare_api,,,,,,,,,income_statement,营业收入,7. 2.1 利润表项目分析,68,,,yes,akshare-sourced; report hint is the matched TOC section (income_statement).
利润表,一、营业收入,净利息收入,akshare,auto,元,bank,akshare_api,,,,,,,,,income_statement,利息净收入,7. 2.1 利润表项目分析,68,,,yes,akshare-sourced; report hint is the matched TOC section (income_statement).
