指标名称,模块,来源类型,报表类型,提取器,适用范围,所在位置,ICBC年报,ICBC半年报,ICBC_Q1,ICBC_Q3,茅台年报,茅台半年报,茅台Q1,茅台Q3
卖出回购金融资产,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
应付职工薪酬,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,section_found/no_value,section_found/no_value,OK,OK,OK,OK,OK,OK
应交税费,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,section_found/no_value,section_found/no_value,OK,OK,OK,OK,OK,OK
合同负债,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,OK,OK,OK,OK
租赁负债,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,OK,OK,OK,OK
预计负债,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
应付利息,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
应付债券,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
递延所得税负债,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,section_found/no_value,section_found/no_value,OK,OK,OK,OK,OK,OK
其他负债,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,section_found/no_value,section_found/no_value,OK,OK,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
股东权益占比,report_section,report,年报/半年报/季报,python:percent_value,universal[*],财务报表附注,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
股本,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,OK,OK,OK,OK,OK,OK,OK,OK
其他权益工具,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,OK,OK,OK,OK,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
优先股,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,OK,OK,OK,OK,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
永续债,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,section_found/no_value,section_found/no_value,OK,OK,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
资本公积,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,OK,OK,OK,OK,OK,OK,OK,OK
减：库存股,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
其他综合收益,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,OK,OK,OK,OK,OK,OK,OK,OK
专项储备,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
盈余公积,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,OK,OK,OK,OK,OK,OK,OK,OK
一般风险准备金,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
未分配利润,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,OK,OK,OK,OK,OK,OK,OK,OK
外币报表折算差额,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
归属于母公司股东及其他权益持有者的权益合计,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
归属于母公司普通股股东权益合计,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
归属于母公司普通股股东的每股股东权益,report_section,report,年报/半年报/季报,llm,universal[*],财务报表附注,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
少数股东权益,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,section_found/no_value,section_found/no_value,OK,OK,OK,OK,OK,OK
流动性比例（外币）,report_section,report,年报/半年报/季报,python:percent_value,universal[*],风险管理 — 流动性风险,section_found/no_value,section_found/no_value,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
流动性比例（折人民币）,report_section,report,年报/半年报/季报,python:percent_value,universal[*],风险管理 — 流动性风险,section_found/no_value,section_found/no_value,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
正常类贷款,report_section,report,年报/半年报/季报,llm,universal[*],风险管理 — 信用风险 — 贷款质量,section_found/no_value,section_found/no_value,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
关注类贷款,report_section,report,年报/半年报/季报,llm,universal[*],风险管理 — 信用风险 — 贷款质量,section_found/no_value,section_found/no_value,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
次级类贷款,report_section,report,年报/半年报/季报,llm,universal[*],风险管理 — 信用风险 — 贷款质量,section_found/no_value,section_found/no_value,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
可疑类贷款,report_section,report,年报/半年报/季报,llm,universal[*],风险管理 — 信用风险 — 贷款质量,section_found/no_value,section_found/no_value,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
损失类贷款,report_section,report,年报/半年报/季报,llm,universal[*],风险管理 — 信用风险 — 贷款质量,section_found/no_value,section_found/no_value,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
逾期贷款,report_section,report,年报/半年报/季报,llm,universal[*],风险管理 — 信用风险 — 贷款质量,section_found/no_value,section_found/no_value,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
逾期90天贷款,report_section,report,年报/半年报/季报,llm,universal[*],风险管理 — 信用风险 — 贷款质量,section_found/no_value,section_found/no_value,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
重组贷款,report_section,report,年报/半年报/季报,llm,universal[*],风险管理 — 信用风险 — 贷款质量,section_found/no_value,section_found/no_value,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
逾期90天的重组贷款,report_section,report,年报/半年报/季报,llm,universal[*],风险管理 — 信用风险 — 贷款质量,section_found/no_value,section_found/no_value,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
贷款损失准备,report_section,report,年报/半年报/季报,llm,universal[*],风险管理 — 信用风险 — 贷款质量,section_found/no_value,section_found/no_value,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
不良贷款拨备覆盖率,report_section,report,年报/半年报/季报,python:percent_value,universal[*],风险管理 — 信用风险 — 贷款质量,section_found/no_value,section_found/no_value,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
